avg_acc,epoch,task,task_num,test_acc,test_loss
,3.0,,1.0,0.94,0.22415346752852203
94.0,,0.0,,,
,6.0,,1.0,0.925,0.2706819325312972
,6.0,,2.0,0.9025,0.2891683233529329
91.375,,1.0,,,
,9.0,,1.0,0.95,0.20832237040624021
,9.0,,2.0,0.9075,0.27855456322431565
,9.0,,3.0,0.915,0.23050326883792877
92.41666666666667,,2.0,,,
,12.0,,1.0,0.945,0.21719180015847087
,12.0,,2.0,0.9125,0.26979431658983233
,12.0,,3.0,0.92,0.21261294946074485
,12.0,,4.0,0.925,0.2785415690019727
92.56249999999999,,3.0,,,
,15.0,,1.0,0.935,0.23639312900602819
,15.0,,2.0,0.9225,0.25658897042274476
,15.0,,3.0,0.9375,0.18573235288262369
,15.0,,4.0,0.9275,0.2697804783284664
,15.0,,5.0,0.925,0.23824206352233887
92.95,,4.0,,,
,18.0,,1.0,0.9425,0.23121817132458092
,18.0,,2.0,0.9225,0.2501980490237474
,18.0,,3.0,0.935,0.18414333939552308
,18.0,,4.0,0.915,0.2813584554940462
,18.0,,5.0,0.9175,0.2573904076218605
,18.0,,6.0,0.94,0.16938275169581174
92.875,,5.0,,,
,21.0,,1.0,0.9175,0.3000599969364703
,21.0,,2.0,0.915,0.2734906390309334
,21.0,,3.0,0.935,0.1843955859541893
,21.0,,4.0,0.915,0.29336265809834006
,21.0,,5.0,0.925,0.2727979449927807
,21.0,,6.0,0.9475,0.20756570793688298
,21.0,,7.0,0.93,0.18404678702354432
92.64285714285714,,6.0,,,
,24.0,,1.0,0.93,0.24811496583744883
,24.0,,2.0,0.9125,0.249729298427701
,24.0,,3.0,0.945,0.1924887116253376
,24.0,,4.0,0.92,0.27286157581955195
,24.0,,5.0,0.9275,0.22178897358477115
,24.0,,6.0,0.9375,0.18309987396001814
,24.0,,7.0,0.9475,0.16733328983187676
,24.0,,8.0,0.92,0.21285782843828202
93.0,,7.0,,,
,27.0,,1.0,0.91,0.34304347947239877
,27.0,,2.0,0.93,0.253129320666194
,27.0,,3.0,0.9425,0.17764268606901168
,27.0,,4.0,0.895,0.3648155903816223
,27.0,,5.0,0.91,0.2978803499788046
,27.0,,6.0,0.9275,0.2552941781654954
,27.0,,7.0,0.9325,0.176729431822896
,27.0,,8.0,0.885,0.28617797255516053
,27.0,,9.0,0.9175,0.22115328669548034
91.66666666666667,,8.0,,,
,30.0,,1.0,0.9275,0.29311375729739664
,30.0,,2.0,0.9125,0.27078379087150095
,30.0,,3.0,0.9425,0.18752647891640664
,30.0,,4.0,0.92,0.2995732407271862
,30.0,,5.0,0.9225,0.2711748067289591
,30.0,,6.0,0.9425,0.21070621836930514
,30.0,,7.0,0.9525,0.17771979298442603
,30.0,,8.0,0.9175,0.23702714204788208
,30.0,,9.0,0.9275,0.19622537851333618
,30.0,,10.0,0.9275,0.20429402381181716
92.925,,9.0,,,
,33.0,,1.0,0.915,0.31132843367755414
,33.0,,2.0,0.92,0.25703022480010984
,33.0,,3.0,0.9375,0.19388722524046897
,33.0,,4.0,0.9225,0.29330188389867545
,33.0,,5.0,0.9175,0.261836918592453
,33.0,,6.0,0.9375,0.2218801048770547
,33.0,,7.0,0.935,0.18748606234788895
,33.0,,8.0,0.91,0.25217688806355
,33.0,,9.0,0.935,0.1873693584650755
,33.0,,10.0,0.94,0.1853601624444127
,33.0,,11.0,0.93,0.19540001213550567
92.72727272727272,,10.0,,,
,36.0,,1.0,0.9175,0.3015952869877219
,36.0,,2.0,0.92,0.2597627830505371
,36.0,,3.0,0.93,0.19659347474575042
,36.0,,4.0,0.915,0.3156021025776863
,36.0,,5.0,0.9175,0.25537283726036547
,36.0,,6.0,0.925,0.2510069313645363
,36.0,,7.0,0.9325,0.19993526492267846
,36.0,,8.0,0.9075,0.2641380777955055
,36.0,,9.0,0.93,0.1959020996838808
,36.0,,10.0,0.93,0.2048896937072277
,36.0,,11.0,0.9275,0.18987013086676596
,36.0,,12.0,0.9075,0.28963057342916726
92.16666666666667,,11.0,,,
,39.0,,1.0,0.9325,0.24899398922920227
,39.0,,2.0,0.925,0.2476515454053879
,39.0,,3.0,0.94,0.19552879974246026
,39.0,,4.0,0.905,0.31375840298831464
,39.0,,5.0,0.9175,0.26103908129036424
,39.0,,6.0,0.93,0.22635964386165142
,39.0,,7.0,0.9325,0.21676619045436382
,39.0,,8.0,0.905,0.25600637823343275
,39.0,,9.0,0.9325,0.18758897855877876
,39.0,,10.0,0.935,0.20597185894846917
,39.0,,11.0,0.94,0.15715716041624547
,39.0,,12.0,0.9175,0.27639573492109776
,39.0,,13.0,0.8875,0.3070300782099366
92.30769230769229,,12.0,,,
,42.0,,1.0,0.9325,0.26763156328350307
,42.0,,2.0,0.915,0.26374166943132876
